label,display_name,algorithm,beta,beta_min,beta_decay,seeds,eval_finish_time_mean,eval_finish_time_ci95,eval_p95_finish_time_mean,eval_p95_finish_time_ci95,eval_cache_hit_rate_mean,eval_cache_hit_rate_ci95,paper_training_finish_time_mean,paper_training_finish_time_ci95,train_tail_finish_time_mean,train_tail_finish_time_ci95,train_tail_cache_hit_rate_mean,train_tail_cache_hit_rate_ci95,train_tail_cache_replacements_mean,train_tail_cache_replacements_ci95,wall_time_sec_mean,wall_time_sec_ci95
daoc_paper,DAOC-paper,prev_servers_plus_service_per_serverDQN,0.9,0.1,0.995,10,0.7736107624426019,0.112465478998531,1.0610170928478253,0.14264872403972517,0.18147671551724137,0.0485816084514922,0.707654371746511,0.149087495370248,0.7074584500480524,0.14957193487974385,0.36477736980837305,0.07579315760770527,0.0,0.0,3495.9600865415005,38.197858343223956
lean_our,OUR (Lean Telemetry PD3QN),causal_telemetryPD3QN,0.1,0.1,1.0,10,0.2667876603143697,0.09058433808449842,0.4335697200624102,0.12571117281008612,0.5888956120689656,0.059970207885173626,0.2232795849646308,0.07619451131436407,0.22500756321998291,0.07778687689059997,0.676663275401349,0.051625794495312745,0.0,0.0,5314.469388200206,279.43794380270805
centralized_greedy_daoc,Centralized-GreedyCache + DAOC-DQN,prev_servers_plus_service_per_serverDQN,0.1,0.1,1.0,10,0.37495905907194443,0.11381196157914626,0.5585715913790389,0.1499068830752593,0.29189638505747123,0.03967619555263093,0.28370977668718067,0.0875687540922874,0.28379276787932745,0.08751131922006071,0.49740648231784934,0.03718086306066111,0.0,0.0,4295.113097645703,156.40473537594008
