seed,oracle_floor,perfect_cache_floor,our_finish_time,daoc_finish_time
51,0.06110080338139554,0.0178705035971223,0.34780913803543373,0.7843615164831899
52,0.059916017592327266,0.017742857142857144,0.29396885254601385,0.6538489777767886
53,0.05694288914959082,0.018000000000000002,0.4223310677536375,0.9851647496610141
54,0.035877140154376444,0.01881818181818182,0.12240373026342151,0.9609116787043935
55,0.03666108709257143,0.019255813953488375,0.12350321643333877,0.5797923022053876
56,0.028201308326368277,0.01725,0.2237259997924106,0.73763437423656
57,0.03049331555727894,0.01689795918367347,0.09559197669827668,0.5381898359121311
58,0.04055432430896469,0.01737062937062937,0.24570031392562705,0.9386817069708
59,0.03533663240637078,0.018961832061068704,0.34064742369487483,0.8360848095321807
60,0.0342417742323499,0.01725,0.45219488400066254,0.7214376729435727
