setting,method,display_name,seeds,mean_mean_finish_time,std_mean_finish_time,min_mean_finish_time,max_mean_finish_time,mean_p95_finish_time,std_p95_finish_time,min_p95_finish_time,max_p95_finish_time,mean_cache_hit_rate,std_cache_hit_rate,min_cache_hit_rate,max_cache_hit_rate,mean_remote_loading_rate,std_remote_loading_rate,min_remote_loading_rate,max_remote_loading_rate,mean_service_latency,std_service_latency,min_service_latency,max_service_latency,mean_waiting_latency,std_waiting_latency,min_waiting_latency,max_waiting_latency
4,greedy,SA-Nearest,3,0.47544057132554807,0.3439117395368548,0.26396095504639583,0.872268963087159,0.6095509416991277,0.4276601999678769,0.340688638108446,1.1026993120908144,0.8946168582375479,0.09753521699237636,0.8075172413793104,1.0,0.1053831417624521,0.09753521699237636,0.0,0.19248275862068964,0.9820833989364038,1.4626797375340055,0.0,2.6631108809846697,0.25542623883863996,0.16150851835562194,0.11282078743924495,0.43080953633158503
4,daoc_paper,DAOC,3,0.2551904826807645,0.12173023875621367,0.11716435617893571,0.34722185016593243,0.3770616415901426,0.1561657568311837,0.19676392293421277,0.469911073497539,0.587033754789272,0.15310483907136346,0.41573137931034476,0.7105361494252874,0.41296624521072806,0.15310483907136344,0.28946385057471263,0.5842686206896552,0.5284067666166979,0.2753527651306464,0.22670505530198162,0.766155282239222,0.10506021659517517,0.06769431264666845,0.0652798172766583,0.18322270672983368
4,our_flat_ddqn,DDQN + DCC,3,0.1601828456660537,0.04060518125436868,0.1167639066226617,0.19721803030841506,0.2987825793059513,0.09550962572200558,0.21579308010660475,0.40317920385811573,0.5861900478927203,0.1147127182807555,0.47929988505747134,0.7073837643678162,0.4138099521072797,0.11471271828075541,0.2926162356321839,0.5207001149425287,0.29076329705345905,0.0849833004454304,0.1982874755685677,0.36543232077304955,0.15604734661027722,0.05032691279462766,0.10449955944324536,0.20505736250529008
4,coord_cache_discrete_sac,SAC + DCC,3,0.1255254968467304,0.0218317196200693,0.10070244146223266,0.1417430621902562,0.22114098955147657,0.06811435282094834,0.15377069197519005,0.2899757800672191,0.6603940613026821,0.06748243560498866,0.5895735632183909,0.7239507471264369,0.339605938697318,0.06748243560498858,0.27604925287356324,0.41042643678160906,0.24950858596359224,0.07690967384044055,0.1728343678493693,0.3266515726383066,0.11472806312316634,0.050186701384135265,0.08512233900524777,0.1726740685586882
4,lean_our,OUR,3,0.10042669250171558,0.02269548682140894,0.07525964211233403,0.11933870907148894,0.21912636130091057,0.07272303679943945,0.13563841778417488,0.2686781846743123,0.8028410344827587,0.14162119117354316,0.6679374137931035,0.9503385919540231,0.19715896551724135,0.14162119117354305,0.04966140804597702,0.33206258620689655,0.12001590542486472,0.07239614299674255,0.04053983048054167,0.18220091717838663,0.0923667005567812,0.0307195851271235,0.05763755794744556,0.11598490285455278
6,greedy,SA-Nearest,3,1.4899476998126342,0.3300522680525153,1.1519869244521437,1.8114777036343548,2.022624791778545,0.314196884873422,1.673450082715994,2.2825201141526574,0.5071340996168582,0.08394378103272253,0.4159425287356322,0.581183908045977,0.4928659003831417,0.08394378103272261,0.418816091954023,0.5840574712643679,4.858337330362295,0.6069106582312106,4.187398566193597,5.369082004848272,0.19600788043916603,0.113330287720233,0.08536200855935283,0.3118442230896336
6,daoc_paper,DAOC,3,0.5302088442650409,0.37663823939081514,0.3068449468772676,0.9650591552396761,0.7618244559667486,0.5064572292053245,0.45388608481963216,1.3463507163814714,0.3660737452107279,0.15409282620993625,0.26549824712643677,0.5434757183908046,0.6339262547892721,0.1540928262099363,0.4565242816091954,0.7345017528735633,1.807832679699888,1.0294826888130038,1.0270880937572557,2.9745187141485805,0.14013764875949136,0.062058918415697294,0.08461831733812758,0.2071339330020976
6,our_flat_ddqn,DDQN + DCC,3,0.1942878034121598,0.0215993943264688,0.16951128262488407,0.2091513109709438,0.36930166088703337,0.06149025240003431,0.3215090871624496,0.43867270517369306,0.45560695402298856,0.12572683111838376,0.3670323850574712,0.5995092241379311,0.5443930459770115,0.1257268311183837,0.400490775862069,0.6329676149425287,0.4433673309917483,0.10901933466345465,0.32002976892698287,0.5268558202807148,0.12430098559005888,0.0041172819305657984,0.11984098880537265,0.12795693349280024
6,coord_cache_discrete_sac,SAC + DCC,3,0.15782009852054532,0.05186602962333836,0.0984207362160631,0.19414336233284704,0.29668203855233016,0.11062737112288817,0.1773532506824539,0.3958292835835453,0.5639878735632183,0.16990749026526022,0.42738862068965516,0.7542466666666665,0.4360121264367816,0.16990749026526028,0.24575333333333338,0.5726113793103448,0.40081497878024747,0.2109768949717977,0.17735724507468006,0.5965749776456356,0.10048534965818384,0.024820667831611184,0.07184141764229697,0.1156495867680393
6,lean_our,OUR,3,0.13820192395702682,0.0641892839289302,0.06518254661562971,0.1857294196152712,0.33436689473204373,0.20177844732863115,0.10168747727273779,0.4611831641784451,0.76785219348659,0.1473176795759021,0.6325391666666667,0.9247851724137931,0.23214780651340997,0.14731767957590214,0.0752148275862069,0.3674608333333334,0.23082919646872238,0.15837433668393205,0.047967312535568095,0.3241519823476448,0.13355306522806126,0.06450988246685829,0.0659163362753884,0.19439881596953382
8,greedy,SA-Nearest,3,1.3643730886917493,0.37957290912419944,0.954443937376423,1.7036662224352863,1.8365552235634517,0.41006472318003806,1.369228125628064,2.136227217810425,0.5293180076628353,0.059128387837767735,0.47627586206896555,0.5930689655172414,0.4706819923371648,0.05912838783776771,0.40693103448275864,0.5237241379310345,4.514467468878462,1.4724067734838748,3.159355148317565,6.081256250917267,0.22949587892524678,0.14768168165617845,0.10578980482254119,0.3929977453814125
8,daoc_paper,DAOC,3,0.8548800370021512,0.11874413111226557,0.7781046802805928,0.9916512867751078,1.1793264519794613,0.17076965668961944,0.986605557511129,1.3118292327352044,0.27592163793103447,0.06208692692832465,0.21848439655172414,0.34179545977011494,0.7240783620689655,0.06208692692832471,0.658204540229885,0.7815156034482759,2.503541555796959,0.5784724684971949,1.946904344162141,3.101620474625222,0.14315024934407503,0.04787933379487171,0.11067377718945949,0.19813625531764398
8,our_flat_ddqn,DDQN + DCC,3,0.24806076705799537,0.04536970259225557,0.1960482620000421,0.27949236764096913,0.5490088042012374,0.22623726584686446,0.3775786772843913,0.8054343950058683,0.43616745210727964,0.06324226380812469,0.3880126724137931,0.5077887356321839,0.5638325478927203,0.06324226380812469,0.49221126436781615,0.6119873275862069,0.6108494671134355,0.12310605206916655,0.46872825125186557,0.6844140833465522,0.14940581581366125,0.05719475564868275,0.10257866534002119,0.21315118443488004
8,coord_cache_discrete_sac,SAC + DCC,3,0.19996701871802783,0.049395398185627465,0.14466866449776114,0.23971885575538887,0.40311450232411866,0.14821390914980886,0.23900998324946024,0.5272338865543016,0.4957321360153258,0.10329036703430028,0.4350839655172415,0.6149958045977012,0.5042678639846743,0.10329036703430024,0.3850041954022989,0.5649160344827585,0.5410003547356547,0.1434572348460481,0.37545211754805946,0.6288057855572879,0.12949345372988627,0.04441381986569509,0.08353660693869508,0.17218389299957873
8,lean_our,OUR,3,0.13372896462123404,0.036696701447556636,0.10248313495178181,0.17413940642683381,0.26715394052336056,0.1097824949083898,0.1812928130821662,0.3908501917864152,0.7295677777777779,0.15393184956606012,0.5564995977011494,0.8511813218390805,0.27043222222222224,0.15393184956606018,0.14881867816091954,0.4435004022988507,0.25715404213600634,0.14372574230543098,0.10212154252810304,0.38596144176369707,0.1004365451664307,0.06477944153852115,0.043670680831552657,0.17100482468076666
10,greedy,SA-Nearest,3,1.958106960401351,0.5133018811117555,1.4809546425660427,2.50118775038586,2.655284083500183,0.48338396719686444,2.169883833587654,3.136626216036044,0.35219157088122605,0.05912838783776767,0.2991494252873564,0.41594252873563214,0.6478084291187739,0.059128387837767665,0.5840574712643679,0.7008505747126437,6.90620965934234,2.1288206521833426,5.313256002108797,9.324028942097664,0.23347809616708268,0.1724020176722487,0.10346050833957886,0.4290396604041806
10,daoc_paper,DAOC,3,0.8077917479736643,0.16689597654102672,0.6538489777767886,0.9851647496610141,1.1078137473705523,0.2091561518179468,0.8836639269738435,1.2977599575155778,0.2316229501915709,0.06859018272263004,0.1834903735632184,0.3101599137931034,0.7683770498084291,0.06859018272263008,0.6898400862068965,0.8165096264367817,2.585597568430217,0.6141962578643635,1.8764667600721716,2.9494992273554517,0.15019805598905175,0.049673487767792894,0.11199965853425344,0.2063528509325559
10,our_flat_ddqn,DDQN + DCC,3,0.448879457613297,0.06660611949020005,0.3806975137282542,0.5137891259848607,0.6932793010915016,0.04934657160065576,0.6363967518445823,0.7246129488094113,0.2997718007662835,0.05122749901284229,0.24143448275862067,0.33741540229885053,0.7002281992337166,0.051227499012842244,0.6625845977011495,0.7585655172413793,1.4965888323821208,0.30117702389745993,1.217296839731811,1.8156911934726292,0.12993358215522358,0.016040661838587,0.11185047345593492,0.14244698285042878
10,coord_cache_discrete_sac,SAC + DCC,3,0.3770074034540194,0.05999027752504383,0.3119664711044276,0.43016984717103846,0.5529560103754876,0.07380783164723216,0.47682575758606277,0.6241984553799049,0.40037171455938697,0.08522291736635852,0.34736408045977,0.49867795977011503,0.599628285440613,0.08522291736635842,0.501322040229885,0.6526359195402298,1.366852860508659,0.35405919406055164,1.1343573566323253,1.7743346994057094,0.10748793429368209,0.037673846057080844,0.07372314711078759,0.14812475982114937
