experiment,setting,method,display_name,seed,mean_finish_time,p95_finish_time,cache_hit_rate,remote_loading_rate,service_latency,waiting_latency
service_size,0.5,greedy,SA-Nearest,51,0.998882775175366,1.3983962754871795,0.3414827586206897,0.6585172413793103,3.035565324230256,0.16777595297328715
service_size,0.5,greedy,SA-Nearest,52,0.8644117312172852,1.19809589203525,0.4159425287356322,0.5840574712643679,2.6645357163050716,0.42641449820992233
service_size,0.5,greedy,SA-Nearest,53,1.306732001399912,1.6488693352237667,0.2991494252873564,0.7008505747126438,4.672895293461041,0.10353859901598286
service_size,0.5,daoc_paper,DAOC,51,0.4556697669601775,0.6440610120378422,0.3114265517241379,0.6885734482758622,0.9429677213001186,0.20809316022199845
service_size,0.5,daoc_paper,DAOC,52,0.35565920494546593,0.49196527281091235,0.1870215804597701,0.8129784195402299,1.4025127668755788,0.1253314393014893
service_size,0.5,daoc_paper,DAOC,53,0.5223069049647711,0.6609219082315192,0.18831379310344826,0.8116862068965518,1.4696002500473049,0.1127013176084013
service_size,0.5,our_flat_ddqn,DDQN + DCC,51,0.278571654768894,0.4085806207607173,0.30530114942528735,0.6946988505747127,0.6266028613740758,0.13670480069681634
service_size,0.5,our_flat_ddqn,DDQN + DCC,52,0.22866874770139722,0.3801376626067831,0.23125669540229887,0.7687433045977012,0.9239008263168647,0.13306524099906836
service_size,0.5,our_flat_ddqn,DDQN + DCC,53,0.29942837944722533,0.4096708989466273,0.3452766091954023,0.6547233908045976,0.7291230913389836,0.11266234781593243
service_size,0.5,coord_cache_discrete_sac,SAC + DCC,51,0.24551608551570542,0.36645695828016245,0.32667735632183903,0.6733226436781607,0.5827206104801169,0.14555408289000732
service_size,0.5,coord_cache_discrete_sac,SAC + DCC,52,0.18523353194570968,0.26844627205636074,0.3557647988505747,0.6442352011494255,0.8808774031367556,0.10201225190631914
service_size,0.5,coord_cache_discrete_sac,SAC + DCC,53,0.25716241798280437,0.33631084740943173,0.49772045977011503,0.5022795402298851,0.6056502957845992,0.0726545377597672
service_size,0.5,lean_our,OUR,51,0.23052912623300756,0.3494506588654322,0.6177902873563218,0.3822097126436781,0.45005150766210406,0.18356077565385726
service_size,0.5,lean_our,OUR,52,0.17863641908373595,0.2792569566355862,0.450608908045977,0.549391091954023,0.7755609239537177,0.08817659826908018
service_size,0.5,lean_our,OUR,53,0.2494222325173776,0.3204072576933163,0.578775632183908,0.42122436781609196,0.5775057993537679,0.0695746380184452
service_size,1.0,greedy,SA-Nearest,51,1.8907408724977868,2.661110383027098,0.3414827586206897,0.6585172413793103,6.071130648460512,0.16777595297328715
service_size,1.0,greedy,SA-Nearest,52,1.484055295007588,2.1756806182947774,0.4159425287356322,0.5840574712643679,5.329071432610143,0.42641449820992233
service_size,1.0,greedy,SA-Nearest,53,2.5056099328277854,3.13674193032893,0.2991494252873564,0.7008505747126438,9.345790586922082,0.10353859901598286
service_size,1.0,daoc_paper,DAOC,51,0.7872909711583909,1.165862613386964,0.30943824712643675,0.6905617528735633,1.8831439632456313,0.20727444633570152
service_size,1.0,daoc_paper,DAOC,52,0.6465796640166758,0.8710717582333635,0.181109540229885,0.8188904597701147,2.877526677092909,0.13242035796803886
service_size,1.0,daoc_paper,DAOC,53,0.9837938122306644,1.2872812774619755,0.2039193965517242,0.7960806034482759,2.938589178492039,0.1134604625433883
service_size,1.0,our_flat_ddqn,DDQN + DCC,51,0.4629548466650612,0.7376808651861583,0.30834218390804596,0.6916578160919541,1.2546898008875018,0.13607955958529977
service_size,1.0,our_flat_ddqn,DDQN + DCC,52,0.3841112411319465,0.6405312201011568,0.23825948275862072,0.7617405172413793,1.8274808612451332,0.1386791973514656
service_size,1.0,our_flat_ddqn,DDQN + DCC,53,0.5146635874168525,0.7224562873261811,0.3395004022988506,0.6604995977011494,1.4454764951837946,0.11281476266181709
service_size,1.0,coord_cache_discrete_sac,SAC + DCC,51,0.39023011823549325,0.6246109199918469,0.3475165804597702,0.6524834195402299,1.1415300762812888,0.14897316164945054
service_size,1.0,coord_cache_discrete_sac,SAC + DCC,52,0.3124639745951911,0.4703513122639275,0.3506214367816092,0.6493785632183909,1.7738776277526498,0.09938242383041664
service_size,1.0,coord_cache_discrete_sac,SAC + DCC,53,0.42991293550372617,0.5546799638206003,0.500220459770115,0.4997795402298851,1.1878987682914113,0.07242502950280078
service_size,1.0,lean_our,OUR,51,0.3487773652189909,0.5788927958269672,0.6173594540229885,0.38264054597701147,0.9007028123053286,0.18412430738396834
service_size,1.0,lean_our,OUR,52,0.29901402263471416,0.5043855095619612,0.4496677586206897,0.5503322413793104,1.556767212186781,0.08984933073791986
service_size,1.0,lean_our,OUR,53,0.4222640978643699,0.5482902128814233,0.5807627011494252,0.4192372988505747,1.1474233556913298,0.07001307138209675
service_size,2.0,greedy,SA-Nearest,51,3.6744570671426287,5.1865385981069325,0.3414827586206897,0.6585172413793103,12.142261296921024,0.16777595297328715
service_size,2.0,greedy,SA-Nearest,52,2.744462700110065,4.166881883059268,0.4159425287356322,0.5840574712643679,10.658142865220286,0.42641449820992233
