experiment,setting,method,display_name,seed,mean_finish_time,p95_finish_time,cache_hit_rate,remote_loading_rate,service_latency,waiting_latency
active_services,4,greedy,SA-Nearest,51,0.26396095504639583,0.340688638108446,0.8763333333333334,0.12366666666666665,0.28313931582454177,0.22264839274508996
active_services,4,greedy,SA-Nearest,52,0.29009179584308936,0.38526487489812267,1.0,0.0,0.0,0.43080953633158503
active_services,4,greedy,SA-Nearest,53,0.872268963087159,1.1026993120908144,0.8075172413793104,0.19248275862068964,2.6631108809846697,0.11282078743924495
active_services,4,daoc_paper,DAOC,51,0.30118524169742533,0.464509928338676,0.6348337356321839,0.36516626436781613,0.59235996230889,0.18322270672983368
active_services,4,daoc_paper,DAOC,52,0.34722185016593243,0.469911073497539,0.41573137931034476,0.5842686206896552,0.766155282239222,0.06667812577903351
active_services,4,daoc_paper,DAOC,53,0.11716435617893571,0.19676392293421277,0.7105361494252874,0.28946385057471263,0.22670505530198162,0.0652798172766583
active_services,4,our_flat_ddqn,DDQN + DCC,51,0.16656660006708437,0.27737545395313346,0.5718864942528736,0.4281135057471264,0.30857009481875985,0.15858511788229626
active_services,4,our_flat_ddqn,DDQN + DCC,52,0.19721803030841506,0.40317920385811573,0.47929988505747134,0.5207001149425287,0.36543232077304955,0.20505736250529008
active_services,4,our_flat_ddqn,DDQN + DCC,53,0.1167639066226617,0.21579308010660475,0.7073837643678162,0.2926162356321839,0.1982874755685677,0.10449955944324536
active_services,4,coord_cache_discrete_sac,SAC + DCC,51,0.1417430621902562,0.21967649661202052,0.6676578735632184,0.33234212643678157,0.2490398174031008,0.1726740685586882
active_services,4,coord_cache_discrete_sac,SAC + DCC,52,0.13413098688770228,0.2899757800672191,0.5895735632183909,0.41042643678160906,0.3266515726383066,0.08638778180556303
active_services,4,coord_cache_discrete_sac,SAC + DCC,53,0.10070244146223266,0.15377069197519005,0.7239507471264369,0.27604925287356324,0.1728343678493693,0.08512233900524777
active_services,4,lean_our,OUR,51,0.10668172632132375,0.2530624814442445,0.7902470977011494,0.20975290229885055,0.13730696861566585,0.10347764086834528
active_services,4,lean_our,OUR,52,0.11933870907148894,0.2686781846743123,0.6679374137931035,0.33206258620689655,0.18220091717838663,0.11598490285455278
active_services,4,lean_our,OUR,53,0.07525964211233403,0.13563841778417488,0.9503385919540231,0.04966140804597702,0.04053983048054167,0.05763755794744556
active_services,6,greedy,SA-Nearest,51,1.5063784713514037,2.111904178466984,0.5242758620689655,0.4757241379310344,5.018531420045019,0.19081740966851168
active_services,6,greedy,SA-Nearest,52,1.1519869244521437,1.673450082715994,0.4159425287356322,0.5840574712643679,4.187398566193597,0.3118442230896336
active_services,6,greedy,SA-Nearest,53,1.8114777036343548,2.2825201141526574,0.581183908045977,0.418816091954023,5.369082004848272,0.08536200855935283
active_services,6,daoc_paper,DAOC,51,0.9650591552396761,1.3463507163814714,0.26549824712643677,0.7345017528735633,2.9745187141485805,0.2071339330020976
active_services,6,daoc_paper,DAOC,52,0.3068449468772676,0.45388608481963216,0.28924727011494245,0.7107527298850576,1.4218912311938283,0.12866069593824891
active_services,6,daoc_paper,DAOC,53,0.31872243067817896,0.48523656669914217,0.5434757183908046,0.4565242816091954,1.0270880937572557,0.08461831733812758
active_services,6,our_flat_ddqn,DDQN + DCC,51,0.2091513109709438,0.3477231903249575,0.40027925287356325,0.5997207471264367,0.5268558202807148,0.11984098880537265
active_services,6,our_flat_ddqn,DDQN + DCC,52,0.20420081664065143,0.43867270517369306,0.3670323850574712,0.6329676149425287,0.4832164037675472,0.12795693349280024
active_services,6,our_flat_ddqn,DDQN + DCC,53,0.16951128262488407,0.3215090871624496,0.5995092241379311,0.400490775862069,0.32002976892698287,0.12510503447200377
active_services,6,coord_cache_discrete_sac,SAC + DCC,51,0.18089619701272583,0.3168635813909913,0.5103283333333334,0.4896716666666666,0.4285127136204266,0.1156495867680393
active_services,6,coord_cache_discrete_sac,SAC + DCC,52,0.19414336233284704,0.3958292835835453,0.42738862068965516,0.5726113793103448,0.5965749776456356,0.11396504456421529
active_services,6,coord_cache_discrete_sac,SAC + DCC,53,0.0984207362160631,0.1773532506824539,0.7542466666666665,0.24575333333333338,0.17735724507468006,0.07184141764229697
active_services,6,lean_our,OUR,51,0.1857294196152712,0.4611831641784451,0.7462322413793103,0.2537677586206897,0.3241519823476448,0.19439881596953382
active_services,6,lean_our,OUR,52,0.16369380564017952,0.44023004274494815,0.6325391666666667,0.3674608333333334,0.32036829452295423,0.14034404343926157
active_services,6,lean_our,OUR,53,0.06518254661562971,0.10168747727273779,0.9247851724137931,0.0752148275862069,0.047967312535568095,0.0659163362753884
active_services,8,greedy,SA-Nearest,51,1.4350091062635386,2.004210327251866,0.5186091954022988,0.4813908045977013,4.302791007400555,0.18970008657178664
active_services,8,greedy,SA-Nearest,52,0.954443937376423,1.369228125628064,0.5930689655172414,0.40693103448275864,3.159355148317565,0.3929977453814125
active_services,8,greedy,SA-Nearest,53,1.7036662224352863,2.136227217810425,0.47627586206896555,0.5237241379310345,6.081256250917267,0.10578980482254119
active_services,8,daoc_paper,DAOC,51,0.7781046802805928,1.239544565692051,0.34179545977011494,0.658204540229885,1.946904344162141,0.19813625531764398
active_services,8,daoc_paper,DAOC,52,0.7948841439507531,0.986605557511129,0.21848439655172414,0.7815156034482759,3.101620474625222,0.11067377718945949
active_services,8,daoc_paper,DAOC,53,0.9916512867751078,1.3118292327352044,0.2674850574712644,0.7325149425287356,2.4620998486035135,0.12064071552512154
active_services,8,our_flat_ddqn,DDQN + DCC,51,0.2686416715329749,0.4640133403134529,0.41270094827586207,0.587299051724138,0.6844140833465522,0.13248759766608253
active_services,8,our_flat_ddqn,DDQN + DCC,52,0.27949236764096913,0.8054343950058683,0.3880126724137931,0.6119873275862069,0.6794060667418885,0.21315118443488004
active_services,8,our_flat_ddqn,DDQN + DCC,53,0.1960482620000421,0.3775786772843913,0.5077887356321839,0.49221126436781615,0.46872825125186557,0.10257866534002119
