seed,daoc_mean,daoc_coord_mean,our_mean,daoc_p95,daoc_coord_p95,our_p95,selected_checkpoint_episode
51,0.7843615164831899,0.43656384093200906,0.34780913803543373,1.1420173576222354,0.7012335955416372,0.580245206155054,26000
52,0.6538489777767886,0.4197084208783529,0.29396885254601385,0.8836639269738435,0.5808145498339404,0.4995868716547236,26000
53,0.9851647496610141,0.5225284648046141,0.4223310677536375,1.2977599575155778,0.7090468078978404,0.5473404514573024,26000
54,0.9609116787043935,0.2078838459017391,0.12240373026342151,1.2759874472249881,0.34169612042638337,0.2088104293730591,26000
55,0.5797923022053876,0.23413642272415466,0.12350321643333877,0.7500460993839088,0.44268188998815505,0.2962137704201138,26000
56,0.73763437423656,0.26434573507003506,0.2237259997924106,1.021670003013468,0.39326543820471366,0.4587991505754011,26000
57,0.5381898359121311,0.19844544578693285,0.09559197669827668,0.7624202436215044,0.43042448456703225,0.1691912507959805,26000
58,0.9386817069708,0.3604726274149917,0.24570031392562705,1.1900873181358964,0.5487779412871453,0.34541546158611874,26000
59,0.8360848095321807,0.5586601596194524,0.34064742369487483,1.1419170737592237,0.692692691639688,0.5019877887547776,26000
60,0.7214376729435727,0.5703083291433971,0.45219488400066254,1.1446015012276063,0.9092572502512952,0.7281068198515713,26000
