episode,method,segment,seed_count,mean_finish_time,ci95_lower,ci95_upper
500,dqn_wdsa_std_cache,measured_full_horizon,10,1.374084731808347,1.1347711556091093,1.6133983080075844
1000,dqn_wdsa_std_cache,measured_full_horizon,10,1.2843849406323775,1.1282916872523256,1.4404781940124294
1500,dqn_wdsa_std_cache,measured_full_horizon,10,1.2081638245474176,1.03760054662104,1.378727102473795
2000,dqn_wdsa_std_cache,measured_full_horizon,10,1.142169548361513,0.9157280789324996,1.3686110177905266
2500,dqn_wdsa_std_cache,measured_full_horizon,10,1.1137399006857949,0.9771844944900605,1.2502953068815292
3000,dqn_wdsa_std_cache,measured_full_horizon,10,1.118413745866949,1.0009410870473483,1.2358864046865496
3500,dqn_wdsa_std_cache,measured_full_horizon,10,1.1095127541625716,0.9388109179547044,1.2802145903704387
4000,dqn_wdsa_std_cache,measured_full_horizon,10,1.1702040488922,1.0168987875633206,1.3235093102210795
4500,dqn_wdsa_std_cache,measured_full_horizon,10,1.314974325721551,1.0988443306354765,1.5311043208076254
5000,dqn_wdsa_std_cache,measured_full_horizon,10,1.2464718499518064,1.0558295428167284,1.4371141570868844
5500,dqn_wdsa_std_cache,measured_full_horizon,10,1.1257845613620143,0.9279680364099319,1.3236010863140968
6000,dqn_wdsa_std_cache,measured_full_horizon,10,1.1086877929180743,0.9143035173933138,1.3030720684428347
6500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0989630811895887,0.9079304117970538,1.2899957505821238
7000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0937028289832305,0.9044052117780181,1.2830004461884428
7500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0831324778821314,0.8914208243820678,1.274844131382195
8000,dqn_wdsa_std_cache,measured_full_horizon,10,1.080731051959907,0.8830132904482761,1.2784488134715377
8500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0847730646632658,0.890458353538705,1.2790877757878267
9000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0855607788619515,0.8941431038338478,1.2769784538900553
9500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0774064266485592,0.8828025432849202,1.2720103100121982
10000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0748896138596948,0.8801245281606678,1.269654699558722
10500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0853815161700486,0.8942180170988029,1.2765450152412945
11000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0714727529831718,0.8815066916137242,1.2614388143526194
11500,dqn_wdsa_std_cache,measured_full_horizon,10,1.067236302502922,0.8757386318302176,1.2587339731756262
12000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0631538844987323,0.8709562137583842,1.2553515552390804
12500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0586297707850914,0.8656587470074314,1.2516007945627512
13000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0609835312682763,0.8643399313747258,1.2576271311618268
13500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0607314985972454,0.8636102218186974,1.2578527753757933
14000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0606127853277596,0.8664075058124248,1.2548180648430944
14500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0636246491694057,0.8733837628758268,1.2538655354629846
15000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0649714595368476,0.8756749181740141,1.254268000899681
15500,dqn_wdsa_std_cache,measured_full_horizon,10,1.062517799880039,0.8718878429662748,1.2531477567938032
16000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0593565637826399,0.8656997576457622,1.2530133699195174
16500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0584017086952577,0.8644499762053717,1.2523534411851438
17000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0584336584883436,0.8654139635924809,1.2514533533842063
17500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0602421608589396,0.8688960829800202,1.2515882387378592
18000,dqn_wdsa_std_cache,measured_full_horizon,10,1.061150177453502,0.8710790180195989,1.251221336887405
18500,dqn_wdsa_std_cache,measured_full_horizon,10,1.062147924457873,0.8723785795527594,1.2519172693629868
19000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0627212299532072,0.8729372975977847,1.2525051623086296
19500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0629413726254726,0.8733535527997403,1.252529192451205
20000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0629849613041749,0.8731551711751695,1.2528147514331802
20500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0625158090140232,0.872894010004228,1.2521376080238185
21000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0631826495621959,0.8735396711958783,1.2528256279285135
21500,dqn_wdsa_std_cache,measured_full_horizon,10,1.062889454742656,0.8733348844823381,1.2524440250029738
22000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0631270591015336,0.8733575660887549,1.2528965521143123
22500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0628698030819606,0.8734259580457784,1.2523136481181427
23000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0627890591960605,0.873001875542984,1.252576242849137
23500,dqn_wdsa_std_cache,measured_full_horizon,10,1.062718852784555,0.8729786808657747,1.2524590247033354
24000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0628849488161551,0.8731813490002062,1.2525885486321042
24500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0626253638576717,0.872539589323346,1.2527111383919973
25000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0638217001725674,0.8739704690793468,1.253672931265788
25500,dqn_wdsa_std_cache,measured_full_horizon,10,1.0636574486660983,0.874096263674402,1.2532186336577946
26000,dqn_wdsa_std_cache,measured_full_horizon,10,1.0640647985313436,0.874329393042258,1.2538002040204292
500,discrete_sac_std_cache,measured_full_horizon,10,1.8137042268078312,1.630887643640899,1.9965208099747633
1000,discrete_sac_std_cache,measured_full_horizon,10,1.661360640442383,1.470287271075221,1.852434009809545
1500,discrete_sac_std_cache,measured_full_horizon,10,1.6331896362813532,1.4508800644396602,1.815499208123046
2000,discrete_sac_std_cache,measured_full_horizon,10,1.6179545245489888,1.4436219729616597,1.7922870761363179
