phase,method,metric,mean,ci95_lower,ci95_upper
evaluation,lean_our,cache_remote_loading_rate,0.38399383908045975,0.32025946635034197,0.44772821181057754
evaluation,coord_cache_discrete_sac,average_finish_time,0.3057162446881919,0.21665124653231366,0.3947812428440702
evaluation,coord_cache_discrete_sac,p95_finish_time,0.4587487994155558,0.3499527966529435,0.5675448021781682
evaluation,coord_cache_discrete_sac,waiting_latency,0.1062276794432905,0.0829698196440438,0.1294855392425372
evaluation,coord_cache_discrete_sac,service_latency,1.2148964425441593,0.6583046529476776,1.771488232140641
evaluation,coord_cache_discrete_sac,cache_hit_rate,0.40186953448275864,0.3291415623986016,0.4745975065669157
evaluation,coord_cache_discrete_sac,cache_remote_loading_rate,0.5981304655172414,0.5254024934330843,0.6708584376013984
evaluation,discrete_sac_std_cache,average_finish_time,1.1615049926654961,0.9383943518696338,1.3846156334613584
evaluation,discrete_sac_std_cache,p95_finish_time,1.496105061579163,1.2207392496583234,1.7714708735000024
evaluation,discrete_sac_std_cache,waiting_latency,0.17697829089978234,0.04908553577338731,0.3048710460261774
evaluation,discrete_sac_std_cache,service_latency,3.899643816416469,3.0812540392895897,4.718033593543348
evaluation,discrete_sac_std_cache,cache_hit_rate,0.23540075287356324,0.1737734925199688,0.29702801322715766
evaluation,discrete_sac_std_cache,cache_remote_loading_rate,0.7645992471264369,0.7029719867728424,0.8262265074800313
