episode,method,seed_count,smoothed_mean,ci95_lower,ci95_upper
500,dqn_wdsa_std_cache,10,1.374084731808347,1.1347711556091093,1.6133983080075844
505,dqn_wdsa_std_cache,10,1.3705248563147037,1.1326697288738456,1.6083799837555617
510,dqn_wdsa_std_cache,10,1.3687454011741673,1.1328331499347155,1.6046576524136191
515,dqn_wdsa_std_cache,10,1.367644272687205,1.133612983422731,1.6016755619516787
520,dqn_wdsa_std_cache,10,1.3663067198070533,1.13327309650567,1.5993403431084365
525,dqn_wdsa_std_cache,10,1.3647568157619454,1.1329800946689357,1.5965335368549551
530,dqn_wdsa_std_cache,10,1.3634107749609323,1.1329465269022012,1.5938750230196634
535,dqn_wdsa_std_cache,10,1.362232264452889,1.1326911272439177,1.5917734016618603
540,dqn_wdsa_std_cache,10,1.3620217128033372,1.1334138661576352,1.5906295594490392
545,dqn_wdsa_std_cache,10,1.360855296403518,1.133316552499562,1.588394040307474
550,dqn_wdsa_std_cache,10,1.3594959273974692,1.1328815153131933,1.586110339481745
555,dqn_wdsa_std_cache,10,1.358351995968264,1.132548338621496,1.5841556533150318
560,dqn_wdsa_std_cache,10,1.3569244109690786,1.1325335338003122,1.581315288137845
565,dqn_wdsa_std_cache,10,1.3564565762527887,1.13307663514779,1.5798365173577875
570,dqn_wdsa_std_cache,10,1.3550817008772589,1.132426706721789,1.5777366950327287
575,dqn_wdsa_std_cache,10,1.3542094256769073,1.1316781315516533,1.5767407198021612
580,dqn_wdsa_std_cache,10,1.3541646922944302,1.1317232987863697,1.5766060858024906
585,dqn_wdsa_std_cache,10,1.3533079243009845,1.1314019035371732,1.5752139450647957
590,dqn_wdsa_std_cache,10,1.3532230952797177,1.1324839223023686,1.5739622682570669
595,dqn_wdsa_std_cache,10,1.3532586777427256,1.1328180806628723,1.5736992748225789
600,dqn_wdsa_std_cache,10,1.352764569694547,1.1326462060312077,1.5728829333578862
605,dqn_wdsa_std_cache,10,1.3526527655659257,1.1334841957189343,1.5718213354129171
610,dqn_wdsa_std_cache,10,1.3516413078651992,1.1339600023544552,1.5693226133759433
615,dqn_wdsa_std_cache,10,1.3513980601479756,1.134355314866683,1.5684408054292682
620,dqn_wdsa_std_cache,10,1.3508795285758468,1.135391838543308,1.5663672186083857
625,dqn_wdsa_std_cache,10,1.3511291721915135,1.1370162710479965,1.5652420733350305
630,dqn_wdsa_std_cache,10,1.3509805362049065,1.1386956780315958,1.5632653943782173
635,dqn_wdsa_std_cache,10,1.3503004813977917,1.1394616480833197,1.5611393147122636
640,dqn_wdsa_std_cache,10,1.3495002406079353,1.1395543144278095,1.559446166788061
645,dqn_wdsa_std_cache,10,1.3490071460490825,1.1399276836777588,1.5580866084204061
650,dqn_wdsa_std_cache,10,1.3486654824497513,1.1403764719624856,1.556954492937017
655,dqn_wdsa_std_cache,10,1.3494118623326972,1.1412161463053885,1.5576075783600059
660,dqn_wdsa_std_cache,10,1.349342235161482,1.1421050391914267,1.5565794311315375
665,dqn_wdsa_std_cache,10,1.3496876146107897,1.1431741969597318,1.5562010322618476
670,dqn_wdsa_std_cache,10,1.3500390087941034,1.1448068589827638,1.555271158605443
675,dqn_wdsa_std_cache,10,1.350503014094607,1.1456766427139953,1.5553293854752188
680,dqn_wdsa_std_cache,10,1.3499095619594113,1.1461456999040915,1.553673424014731
685,dqn_wdsa_std_cache,10,1.349957046251721,1.147438854935898,1.552475237567544
690,dqn_wdsa_std_cache,10,1.3492041616293833,1.1477504124443036,1.550657910814463
695,dqn_wdsa_std_cache,10,1.3498367492452756,1.14849746795624,1.5511760305343112
700,dqn_wdsa_std_cache,10,1.3496352105076552,1.1493537996027148,1.5499166214125957
705,dqn_wdsa_std_cache,10,1.3482424236201094,1.150266912495011,1.5462179347452079
710,dqn_wdsa_std_cache,10,1.347957884029664,1.1514059978075881,1.5445097702517399
715,dqn_wdsa_std_cache,10,1.346603135484928,1.1511660305753282,1.5420402403945277
