seed,method,phase,average_finish_time,p95_finish_time,waiting_latency,service_latency,cache_hit_rate,cache_remote_loading_rate
51,daoc_paper,tail,0.75416028331428,1.409311829345871,0.19676172037241016,1.2345635373326986,0.5624571948998177,0.4375428051001821
51,daoc_paper,evaluation,0.7843615164831899,1.1420173576222354,0.2063528509325559,1.8764667600721716,0.3101599137931034,0.6898400862068965
51,dqn_wdsa_std_cache,tail,1.3030618545463748,2.154854541237276,0.16337021282535777,3.0096909432491548,0.1598178506375227,0.840182149362477
51,dqn_wdsa_std_cache,evaluation,1.3320593796945572,1.4478455368728975,0.1473944000394396,3.6004688331273065,0.11744436781609195,0.8825556321839081
51,daoc_our_coord_cache,tail,0.36853915394742526,0.5445522044190487,0.20301351209409074,0.7283572684227654,0.6353734061930784,0.36462659380692175
51,daoc_our_coord_cache,evaluation,0.43656384093200906,0.7012335955416372,0.18268891958141834,1.104785700458231,0.36497373563218394,0.6350262643678161
51,lean_our,tail,0.3130124382788996,0.4645025147896576,0.17131814936174747,0.5065978873366814,0.7666065573770492,0.2333934426229508
51,lean_our,evaluation,0.3386237228831326,0.5688609327348926,0.17419207433573344,0.8415069348329669,0.6497600287356322,0.35023997126436784
51,coord_cache_discrete_sac,tail,0.5976600471690535,0.8046232927987864,0.1310754989577652,1.5595907304918695,0.19095081967213115,0.8090491803278689
51,coord_cache_discrete_sac,evaluation,0.38388839120499507,0.6288989993846112,0.16367891114882308,1.0701873109490214,0.3929071551724138,0.6070928448275863
51,discrete_sac_std_cache,tail,1.5243322895436182,2.366261815594158,0.13268570512113587,3.2319454429303933,0.19081420765027324,0.8091857923497268
51,discrete_sac_std_cache,evaluation,1.1343811979768146,1.2785746072488255,0.14401036248134022,3.0594653301543944,0.17673583333333334,0.8232641666666666
52,daoc_paper,tail,0.47099930456475514,1.3279970794994964,0.17030380545372464,1.6104327947792845,0.33779813084112154,0.6622018691588785
52,daoc_paper,evaluation,0.6538489777767886,0.8836639269738435,0.13224165850034597,2.9308267178630287,0.1834903735632184,0.8165096264367817
52,dqn_wdsa_std_cache,tail,1.24862765459306,2.0021532196345113,0.24063149560432395,4.242754687969882,0.04544672897196261,0.9545532710280373
52,dqn_wdsa_std_cache,evaluation,1.3057065116149968,1.9324757722398551,0.13497492780741807,5.3029027386896885,0.09481264367816093,0.905187356321839
52,daoc_our_coord_cache,tail,0.2888126436397218,0.813864785953346,0.15428491738833428,1.0464508778344264,0.4241140186915888,0.5758859813084113
52,daoc_our_coord_cache,evaluation,0.4197084208783529,0.5808145498339404,0.12698138016818863,2.34661748545858,0.233476091954023,0.766523908045977
52,lean_our,tail,0.23908630489344887,0.6126326654033349,0.12058347139809357,0.5278751995379057,0.6005121495327103,0.39948785046728974
52,lean_our,evaluation,0.31765421274696465,0.5371725322879649,0.08900276085454546,1.609856723372486,0.47195330459770113,0.5280466954022988
52,coord_cache_discrete_sac,tail,0.5320980758953442,1.041379094861752,0.20149039391170134,1.238114415394332,0.17436822429906543,0.8256317757009346
52,coord_cache_discrete_sac,evaluation,0.31748750091227823,0.5051333221789391,0.0595851022440359,1.8739976985364601,0.3074097701149425,0.6925902298850574
