seed,std_sac_mean,coord_sac_mean,our_mean,std_sac_p95,coord_sac_p95,our_p95,selected_checkpoint_episode
51,1.1179971033291678,0.3888858920865922,0.34780913803543373,1.2677788295168244,0.6241984553799049,0.580245206155054,10500
52,1.8415030877825174,0.3119664711044276,0.29396885254601385,2.241801873089956,0.47682575758606277,0.4995868716547236,10500
53,0.7516482689814148,0.43016984717103846,0.4223310677536375,0.9493414349447603,0.557843818160495,0.5473404514573024,11000
54,1.007739978221971,0.13694551341050012,0.12240373026342151,1.183098820771586,0.23410350109711728,0.2088104293730591,11000
55,1.1705842595226916,0.1542265726168529,0.12350321643333877,1.4706918095636012,0.2833300615956855,0.2962137704201138,10500
56,1.2620995792332808,0.24234665927419957,0.2237259997924106,1.8997597125416346,0.4289883667687006,0.4587991505754011,10500
57,0.6977677360473227,0.14969475453802372,0.09559197669827668,0.8998381682541681,0.25219088460827804,0.1691912507959805,11500
58,1.143998802159516,0.2868787457931742,0.24570031392562705,1.374336552086511,0.41180753228813716,0.34541546158611874,10500
59,1.2568039124592907,0.42194010079231875,0.34064742369487483,1.5449955780381717,0.543136351323523,0.5019877887547776,10500
60,1.106359949660611,0.47775284105976323,0.45219488400066254,1.6798309722428764,0.6509808486725632,0.7281068198515713,10500
