servers,seed,method,method_key,source,mean_completion_time_s,p95_completion_time_s,cache_hit_rate,remote_loading_rate,inference_ms_per_decision,selected_checkpoint_episode
5,51,Random,random,p13_calibrated,2.5138220520913364,2.9871095166205395,0.11260816091954022,0.8873918390804598,0.0,5000
5,51,Nearest,nearest,p13_calibrated,2.40685913169214,3.3744143154000685,0.10278091954022989,0.8972190804597702,0.0,5000
5,51,Nearest+Service,greedy,p13_calibrated,2.3969722679766408,3.3423276904071666,0.23314942528735635,0.7668505747126436,0.0,5000
5,51,DAOC,daoc_paper,p11_reused,1.0331187005042373,1.1031807693945577,0.12698778735632185,0.8730122126436781,0.15445853638103604,26000
5,51,OUR-DQN,our_flat_ddqn,p12_reused,1.0588152870120586,1.2051810912954681,0.2232160344827586,0.7767839655172414,0.0983404976314709,10500
5,51,CoordCache-DiscreteSAC,coord_cache_discrete_sac,p12_reused,0.9999069238916026,1.0234566837584094,0.11884666666666668,0.8811533333333333,0.3816230048068137,10500
5,51,OUR,lean_our,p11_reused,0.9939958477884459,1.0398551103192935,0.3097881896551724,0.6902118103448277,1.5264991252467417,10500
5,52,Random,random,p13_calibrated,2.1771405518720512,2.5392063332549744,0.1081441379310345,0.8918558620689656,0.0,5000
5,52,Nearest,nearest,p13_calibrated,1.9520448046106744,2.8256212096690465,0.12208626436781608,0.8779137356321839,0.0,5000
5,52,Nearest+Service,greedy,p13_calibrated,1.924384214098833,2.8233110467006957,0.27104597701149424,0.7289540229885059,0.0,5000
5,52,DAOC,daoc_paper,p11_reused,1.1240120906523576,1.3241655048840983,0.13766566091954024,0.8623343390804596,0.13963136146579175,26000
5,52,OUR-DQN,our_flat_ddqn,p12_reused,1.037320691538674,1.1623568853978008,0.21380474137931033,0.7861952586206895,0.09916120193197175,10500
5,52,CoordCache-DiscreteSAC,coord_cache_discrete_sac,p12_reused,0.9886100667283217,1.0173970625232278,0.14810732758620687,0.8518926724137931,0.29841170248425475,10500
5,52,OUR,lean_our,p11_reused,1.0239608778459295,1.1396762395411217,0.2568704022988506,0.7431295977011493,0.8449282846886171,10500
5,53,Random,random,p13_calibrated,2.2532094568579133,2.5402038271283907,0.08394971264367815,0.9160502873563219,0.0,5000
5,53,Nearest,nearest,p13_calibrated,2.5380859483854663,3.160495450328791,0.054928908045977005,0.9450710919540232,0.0,5000
5,53,Nearest+Service,greedy,p13_calibrated,2.507815851993103,3.1263407625024384,0.2991494252873564,0.7008505747126437,0.0,5000
5,53,DAOC,daoc_paper,p11_reused,1.1938130533815319,1.5530309083913365,0.100351091954023,0.8996489080459773,0.1703225299365696,26000
5,53,OUR-DQN,our_flat_ddqn,p12_reused,1.1248531789296587,1.3397275121235408,0.3244804022988506,0.6755195977011494,0.08757975927571131,10500
5,53,CoordCache-DiscreteSAC,coord_cache_discrete_sac,p12_reused,1.1656829824472459,1.4210051134801207,0.1322825287356322,0.8677174712643678,0.15037220199868895,10500
5,53,OUR,lean_our,p11_reused,1.1466834611563153,1.3812943628794914,0.3275039367816093,0.6724960632183907,0.9101763855792793,10500
10,51,Random,random,p6_reused,2.427795279969608,2.860143634285176,0.1099089655172414,0.8900910344827588,0.0,5000
10,51,Nearest,nearest,p6_reused,1.6429631022205669,2.2971194641957067,0.1094170114942529,0.890582988505747,0.0,5000
10,51,Nearest+Service,greedy,p6_reused,1.89217848825215,2.659342200876852,0.34148275862068966,0.6585172413793103,0.0,5000
10,51,DAOC,daoc_paper,p11_reused,0.7843615164831899,1.1420173576222354,0.3101599137931034,0.6898400862068965,0.022199805128519743,26000
10,51,OUR-DQN,our_flat_ddqn,p12_reused,0.4521517331267762,0.7246129488094113,0.3204655172413793,0.6795344827586208,0.04412909365097264,10500
10,51,CoordCache-DiscreteSAC,coord_cache_discrete_sac,p12_reused,0.3888858920865922,0.6241984553799049,0.34736408045977,0.6526359195402298,0.13634753967168833,10500
10,51,OUR,lean_our,p11_reused,0.34780913803543373,0.580245206155054,0.6141486206896551,0.3858513793103448,0.1704272140581845,10500
10,52,Random,random,p6_reused,2.094459516988831,2.4612608718292663,0.10087704022988506,0.8991229597701149,0.0,5000
10,52,Nearest,nearest,p6_reused,1.5158550914884166,2.1804410180123823,0.08722433908045976,0.9127756609195401,0.0,5000
10,52,Nearest+Service,greedy,p6_reused,1.4809546425660427,2.169883833587654,0.41594252873563214,0.5840574712643679,0.0,5000
10,52,DAOC,daoc_paper,p11_reused,0.6538489777767886,0.8836639269738435,0.1834903735632184,0.8165096264367817,0.021119246357283655,26000
10,52,OUR-DQN,our_flat_ddqn,p12_reused,0.3806975137282542,0.6363967518445823,0.24143448275862067,0.7585655172413793,0.03765115559931671,10500
10,52,CoordCache-DiscreteSAC,coord_cache_discrete_sac,p12_reused,0.3119664711044276,0.47682575758606277,0.35507310344827586,0.6449268965517241,0.1447580939554325,10500
10,52,OUR,lean_our,p11_reused,0.29396885254601385,0.4995868716547236,0.45361025862068965,0.5463897413793104,0.19398604280542572,12000
10,53,Random,random,p6_reused,1.3042850925323568,1.480418271841863,0.07285997126436781,0.9271400287356323,0.0,5000
10,53,Nearest,nearest,p6_reused,2.53573361227905,3.18550348220336,0.08080379310344828,0.9191962068965519,0.0,5000
10,53,Nearest+Service,greedy,p6_reused,2.50118775038586,3.136626216036044,0.2991494252873564,0.7008505747126437,0.0,5000
10,53,DAOC,daoc_paper,p11_reused,0.9851647496610141,1.2977599575155778,0.20121856321839082,0.7987814367816091,0.021607684964659,26000
