label,display_name,algorithm,beta,beta_min,beta_decay,seeds,eval_finish_time_mean,eval_finish_time_ci95,eval_p95_finish_time_mean,eval_p95_finish_time_ci95,eval_cache_hit_rate_mean,eval_cache_hit_rate_ci95,paper_training_finish_time_mean,paper_training_finish_time_ci95,train_tail_finish_time_mean,train_tail_finish_time_ci95,train_tail_cache_hit_rate_mean,train_tail_cache_hit_rate_ci95,train_tail_cache_replacements_mean,train_tail_cache_replacements_ci95,wall_time_sec_mean,wall_time_sec_ci95
our_dqn,OUR-DQN,causal_telemetryDDQN,0.1,0.1,1.0,10,0.3579077497034529,0.09594897899252937,0.5507609659480923,0.12389885394038608,0.3038462988505747,0.045883473373852665,0.2608986324558716,0.07599460378470839,0.26092295991552583,0.07911803850871961,0.44840595091977564,0.040746192595701704,0.0,0.0,2595.740169741807,101.06227510458928
our_no_coord_cache,OUR-noCoordCache,causal_telemetryPD3QN,0.1,0.1,1.0,10,0.7373397025832562,0.1323510923146664,1.012318770117751,0.20839313107074603,0.48981633333333335,0.06901303356686136,0.7430491885523384,0.14750969543412612,0.7400843689443255,0.145419375429129,0.5587402841393961,0.07375299390070485,0.0,0.0,5447.100488395995,673.9099599476602
