profile,capacity_multiset,capacity_variance,method,display_name,seed,convergence_episode,mean_average_finish_time,mean_p95_finish_time,mean_waiting_latency,mean_cache_hit_rate,mean_cache_remote_loading_rate,mean_cache_service_coverage,mean_cache_zero_capacity_assignment_rate,mean_cache_capacity_utilization,mean_policy_inference_time_per_decision_ms,mean_cache_decision_wall_time_sec
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_paper,DAOC,51,26000,0.8340548105399632,1.2582737720926007,0.12271489119358238,0.19718807471264363,0.8028119252873563,0.6,0.10828896551724139,1.0,0.022355167433494385,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_paper,DAOC,52,26000,1.013512171529054,1.436901095040289,0.16898744325148177,0.1681619540229885,0.8318380459770114,0.6,0.16190876436781612,1.0,0.022361959197448746,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_paper,DAOC,53,26000,0.9184527639096028,1.1184684189386123,0.12107006596386469,0.17586988505747125,0.8241301149425285,0.6,0.12797977011494255,1.0,0.02450841140542608,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_our_coord_cache,DAOC + DCC,51,26000,0.4891528624303554,0.7216738250526342,0.10817603198726672,0.25514839080459767,0.7448516091954022,0.7999999999999998,0.1738441666666667,1.0,0.022424471529315083,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_our_coord_cache,DAOC + DCC,52,26000,0.3863878169445426,0.5294612326998038,0.12425909827968186,0.22267083333333332,0.7773291666666666,0.7999999999999998,0.1672783908045977,1.0,0.02251388657253688,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,daoc_our_coord_cache,DAOC + DCC,53,26000,0.5036927486146198,0.6426717728965232,0.16170755241727128,0.3496235919540229,0.650376408045977,0.7999999999999998,0.05880910919540229,1.0,0.019797475973094666,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,our_flat_ddqn,DDQN + DCC,51,10500,0.39306568973929074,0.520080671250808,0.13128998590024388,0.30573488505747126,0.6942651149425287,0.7999999999999998,0.13872425287356321,1.0,0.030920238074553522,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,our_flat_ddqn,DDQN + DCC,52,10500,0.42654908345190123,0.8485051806642163,0.23096986330886854,0.24849051724137927,0.7515094827586206,0.7999999999999998,0.21701534482758625,1.0,0.043426639089135376,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,our_flat_ddqn,DDQN + DCC,53,10500,0.5301136987137565,0.7074695392250611,0.15745977103500336,0.30168873563218385,0.698311264367816,0.7999999999999998,0.09551968390804598,1.0,0.05000703661308835,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,lean_our,OUR,51,10500,0.31631322671333467,0.5407739936949354,0.11291381635379089,0.6220328735632185,0.37796712643678154,0.7999999999999998,0.0302689367816092,1.0,0.15202646916518098,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,lean_our,OUR,52,10500,0.3380710629200629,0.532839367405323,0.12255445829165768,0.4542969252873564,0.5457030747126437,0.7999999999999998,0.032816666666666675,1.0,0.16719841676463448,0.0
H0,"0,0,1,1,1,1,1,1,1,1",0.16,lean_our,OUR,53,10500,0.5915785737574246,0.7232889538928469,0.16355828002614342,0.5620731609195403,0.4379268390804597,0.7999999999999998,0.0,1.0,0.17044733596834535,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_paper,DAOC,51,26000,1.148968545284652,1.740591844989054,0.14328147475631373,0.18012502873563221,0.8198749712643678,0.5,0.3043137931034483,1.0,0.022012736559390553,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_paper,DAOC,52,26000,0.8022698791904077,1.0649156529820147,0.14392733626371595,0.2404961206896552,0.7595038793103448,0.5,0.24331494252873562,1.0,0.02200674842866793,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_paper,DAOC,53,26000,1.0226887805024933,1.3820471925266529,0.12548728922900218,0.26954462643678156,0.7304553735632184,0.6,0.12506902298850575,1.0,0.0295060915826959,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_our_coord_cache,DAOC + DCC,51,26000,0.4929225770371477,0.7614217766784327,0.1310874163690408,0.2510073275862069,0.7489926724137933,0.7999999999999998,0.16152979885057472,1.0,0.025621830956721357,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_our_coord_cache,DAOC + DCC,52,26000,0.4007037549654259,0.5606927577355354,0.10293765431821669,0.2306684770114942,0.7693315229885057,0.7999999999999998,0.15316387931034484,1.0,0.025143544331926247,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,daoc_our_coord_cache,DAOC + DCC,53,26000,0.5382188472254653,0.6745315068565997,0.13708009482316846,0.320994051724138,0.679005948275862,0.7999999999999998,0.19790399425287356,1.0,0.019794338851957718,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,our_flat_ddqn,DDQN + DCC,51,10500,0.3950919832723757,0.5599343850858883,0.13923242352285226,0.3868274137931035,0.6131725862068965,0.7999999999999998,0.2132397413793104,1.0,0.07756636291419172,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,our_flat_ddqn,DDQN + DCC,52,10500,0.41707777259597106,0.8246638363660697,0.20810112344554038,0.24595787356321838,0.7540421264367816,0.7999999999999998,0.2350266091954023,1.0,0.05953751982638317,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,our_flat_ddqn,DDQN + DCC,53,12000,0.5203496988500957,0.6968496710794555,0.12909373155869694,0.3629472413793104,0.6370527586206896,0.7999999999999998,0.20127543103448275,1.0,0.05298063653413857,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,lean_our,OUR,51,10500,0.3398498635333223,0.6074339969965843,0.15377978966820668,0.5889255459770114,0.4110744540229886,0.7999999999999998,0.14926089080459767,1.0,0.1664110387453104,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,lean_our,OUR,52,10500,0.31574096130971413,0.5274038467744685,0.1320361987527831,0.5152406609195402,0.48475933908045976,0.7999999999999998,0.02121284482758621,1.0,0.17118125338610812,0.0
H1,"0,0,0,1,1,1,1,1,1,2",0.36,lean_our,OUR,53,10500,0.406674722883556,0.5177393164523841,0.10305102342675813,0.5673581034482759,0.43264189655172425,0.7999999999999998,0.0,1.0,0.20063212606480854,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_paper,DAOC,51,26000,0.7843615164831899,1.1420173576222354,0.2063528509325559,0.3101599137931034,0.6898400862068965,0.7000000000000002,0.22538821839080456,1.0,0.022199805128519743,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_paper,DAOC,52,26000,0.6538489777767886,0.8836639269738435,0.13224165850034597,0.1834903735632184,0.8165096264367817,0.6,0.2728501436781609,1.0,0.021119246357283655,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_paper,DAOC,53,26000,0.9851647496610141,1.2977599575155778,0.11199965853425344,0.20121856321839082,0.7987814367816091,0.5,0.42835574712643676,1.0,0.021607684964659,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_our_coord_cache,DAOC + DCC,51,26000,0.43656384093200906,0.7012335955416372,0.18268891958141834,0.36497373563218394,0.6350262643678161,0.7999999999999998,0.10278109195402302,1.0,0.026723793478367012,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_our_coord_cache,DAOC + DCC,52,26000,0.4197084208783529,0.5808145498339404,0.12698138016818863,0.233476091954023,0.766523908045977,0.7999999999999998,0.22814048850574714,1.0,0.0261399514085087,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,daoc_our_coord_cache,DAOC + DCC,53,26000,0.5225284648046141,0.7090468078978404,0.13269511728504008,0.32060945402298846,0.6793905459770113,0.7999999999999998,0.31593376436781606,1.0,0.02264343878824495,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,our_flat_ddqn,DDQN + DCC,51,10500,0.4521517331267762,0.7246129488094113,0.13550329015930704,0.3204655172413793,0.6795344827586208,0.7999999999999998,0.29642574712643677,1.0,0.04412909365097264,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,our_flat_ddqn,DDQN + DCC,52,10500,0.3806975137282542,0.6363967518445823,0.14244698285042878,0.24143448275862067,0.7585655172413793,0.7999999999999998,0.36263120689655176,1.0,0.03765115559931671,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,our_flat_ddqn,DDQN + DCC,53,10500,0.5137891259848607,0.7188282026205112,0.11185047345593492,0.33741540229885053,0.6625845977011495,0.7999999999999998,0.3555928735632184,1.0,0.07154341937668506,0.0
H2,"0,0,0,0,1,1,1,1,2,2",0.56,lean_our,OUR,51,10500,0.34780913803543373,0.580245206155054,0.18375374358700555,0.6141486206896551,0.3858513793103448,0.7999999999999998,0.06407537356321841,1.0,0.1704272140581845,0.0
