profile,capacity_variance,method,display_name,mean_average_finish_time_mean,mean_average_finish_time_std,mean_p95_finish_time_mean,mean_p95_finish_time_std,mean_waiting_latency_mean,mean_waiting_latency_std,mean_cache_hit_rate_mean,mean_cache_hit_rate_std,mean_cache_remote_loading_rate_mean,mean_cache_remote_loading_rate_std,mean_cache_service_coverage_mean,mean_cache_service_coverage_std,mean_cache_zero_capacity_assignment_rate_mean,mean_cache_zero_capacity_assignment_rate_std,mean_cache_capacity_utilization_mean,mean_cache_capacity_utilization_std,mean_policy_inference_time_per_decision_ms_mean,mean_policy_inference_time_per_decision_ms_std,mean_cache_decision_wall_time_sec_mean,mean_cache_decision_wall_time_sec_std
H0,0.16,daoc_paper,DAOC,0.9220065819928734,0.08978144752964808,1.2712144286905007,0.15961026830128258,0.13759080013630962,0.027202725262098177,0.18040663793103448,0.015035475235237641,0.8195933620689654,0.015035475235237577,0.6,0.0,0.13272583333333335,0.02712313669634737,1.0,0.0,0.0230751793454564,0.0012412200188959624,0.0,0.0
H0,0.16,daoc_our_coord_cache,DAOC + DCC,0.4597444759965059,0.06394334713644832,0.6312689435496538,0.09661231056435929,0.13138089422807328,0.02746717865079871,0.2758142720306513,0.06595119191862864,0.7241857279693487,0.06595119191862865,0.7999999999999998,0.0,0.13331055555555557,0.06460361046786649,1.0,0.0,0.02157861135831554,0.0015431562486841798,0.0,0.0
H0,0.16,our_flat_ddqn,DDQN + DCC,0.4499094906349828,0.07144802767596764,0.6920184637133618,0.16475653673439075,0.17323987341470526,0.051679572496151856,0.2853047126436781,0.031946151076959486,0.7146952873563217,0.031946151076959466,0.7999999999999998,0.0,0.1504197605363985,0.06158642366778213,1.0,0.0,0.04145130459225908,0.009695510785593813,0.0,0.0
H0,0.16,lean_our,OUR,0.4153209544636074,0.15303075549850384,0.5989674383310352,0.10773866064360699,0.13300885155719733,0.026892121133855907,0.5461343199233717,0.08499630624460411,0.4538656800766283,0.08499630624460414,0.7999999999999998,0.0,0.021028534482758626,0.018255743719751055,1.0,0.0,0.16322407396605362,0.009832529377299342,0.0,0.0
H1,0.36,daoc_paper,DAOC,0.991309068325851,0.17546653817779267,1.3958515634992406,0.338049551996072,0.13756536674967731,0.010464905719511475,0.23005525862068965,0.045614962608953445,0.7699447413793102,0.045614962608953466,0.5333333333333333,0.05773502691896257,0.22423258620689657,0.09113327682841693,1.0,0.0,0.024508525523584793,0.004328020199908021,0.0,0.0
H1,0.36,daoc_our_coord_cache,DAOC + DCC,0.4772817264093463,0.07007907894723422,0.6655486804235227,0.1006655509073963,0.12370172183680865,0.01823013778612564,0.2675566187739464,0.04738234524487777,0.7324433812260537,0.04738234524487777,0.7999999999999998,0.0,0.1708658908045977,0.02378637069832533,1.0,0.0,0.02351990471353511,0.0032352851907641203,0.0,0.0
H1,0.36,our_flat_ddqn,DDQN + DCC,0.4441731515728142,0.06688044182989011,0.6938159641771379,0.13239079698737882,0.1588090928423632,0.04298809695048647,0.3319108429118774,0.07538899364971495,0.6680891570881226,0.07538899364971495,0.7999999999999998,0.0,0.21651392720306517,0.017112151425781933,1.0,0.0,0.06336150642490448,0.0127311288006195,0.0,0.0
H1,0.36,lean_our,OUR,0.3540885159088642,0.04710935856701641,0.5508590534078123,0.04923305767613029,0.12962233728258263,0.025450382639419615,0.5571747701149424,0.037883251969920935,0.4428252298850575,0.03788325196992092,0.7999999999999998,0.0,0.05682457854406129,0.08075178056653212,1.0,0.0,0.17940813939874234,0.01853461476348609,0.0,0.0
H2,0.56,daoc_paper,DAOC,0.8077917479736643,0.16689597654102672,1.1078137473705523,0.2091561518179468,0.15019805598905175,0.049673487767792894,0.2316229501915709,0.06859018272263004,0.7683770498084291,0.06859018272263008,0.6000000000000001,0.10000000000000009,0.3088647030651341,0.1061684548071638,1.0,0.0,0.021642245483487466,0.0005411077865084557,0.0,0.0
H2,0.56,daoc_our_coord_cache,DAOC + DCC,0.45960024220499207,0.05514523729169174,0.663698317757806,0.07188567875991496,0.14745513901154902,0.03064679702504647,0.3063530938697318,0.0668979852225885,0.6936469061302682,0.06689798522258854,0.7999999999999998,0.0,0.21561844827586207,0.10712663794745259,1.0,0.0,0.02516906122504022,0.0022066477767344,0.0,0.0
H2,0.56,our_flat_ddqn,DDQN + DCC,0.448879457613297,0.06660611949020005,0.6932793010915016,0.04934657160065576,0.12993358215522358,0.016040661838587,0.2997718007662835,0.05122749901284229,0.7002281992337166,0.051227499012842244,0.7999999999999998,0.0,0.33821660919540225,0.03636264083339183,1.0,0.0,0.05110788954232479,0.0179916391709745,0.0,0.0
H2,0.56,lean_our,OUR,0.3547030194450283,0.06445819400137764,0.5423908430890266,0.04055632747600894,0.11468194203769423,0.06050808735637046,0.5504130268199233,0.08522452661968748,0.4495869731800766,0.08522452661968752,0.7999999999999998,0.0,0.060443160919540245,0.046129429173906514,1.0,0.0,0.19216298311266958,0.020884003413593272,0.0,0.0
H3,0.9600000000000002,daoc_paper,DAOC,0.7826526520839341,0.14549944601863857,1.089445812734152,0.28322663454196895,0.15547548589984866,0.09005423623496712,0.2665846934865901,0.06543582356871262,0.7334153065134098,0.0654358235687125,0.6666666666666669,0.05773502691896269,0.2485232183908046,0.07361147265929939,1.0,0.0,0.02579057774430572,0.0018541199799828835,0.0,0.0
H3,0.9600000000000002,daoc_our_coord_cache,DAOC + DCC,0.45564290334389174,0.05983592974607557,0.6560088543349445,0.08384535063523557,0.1386814157576494,0.00922119839799644,0.32373481800766285,0.06551388790012601,0.6762651819923372,0.06551388790012597,0.7999999999999998,0.0,0.25799661877394636,0.08858154087998782,1.0,0.0,0.023572729094275338,0.003002224940438506,0.0,0.0
H3,0.9600000000000002,our_flat_ddqn,DDQN + DCC,0.4489552974152953,0.05712264726340654,0.7045726991563731,0.10396098210519522,0.1648314248466636,0.06514161467467303,0.2722903639846743,0.03924621544325923,0.7277096360153257,0.0392462154432592,0.7999999999999998,0.0,0.425707346743295,0.03268151474899965,1.0,0.0,0.06200004541216453,0.017855212201519838,0.0,0.0
H3,0.9600000000000002,lean_our,OUR,0.41929203229307016,0.16077784097925202,0.6628689236564326,0.1732441149519215,0.1253998544241556,0.09591698305465457,0.5339671455938698,0.054326523598821855,0.4660328544061303,0.05432652359882179,0.7999999999999998,0.0,0.04404243295019158,0.030044617762155838,1.0,0.0,0.18075560353860376,0.02107495358900256,0.0,0.0
