servers,seed,method,method_key,source,mean_completion_time_s,p95_completion_time_s,cache_hit_rate,remote_loading_rate,inference_ms_per_decision,cache_decision_ms_per_episode,selected_checkpoint_episode,total_wall_time_sec
5,51,DAOC,daoc_paper,p11_retrained,1.0331187005042373,1.1031807693945577,0.12698778735632185,0.8730122126436781,0.15445853638103604,0.0,26000,23372.933410416998
5,51,OUR,lean_our,p11_retrained,0.9939958477884459,1.0398551103192935,0.3097881896551724,0.6902118103448277,1.5264991252467417,0.0,10500,23404.467429124983
5,52,DAOC,daoc_paper,p11_retrained,1.1240120906523576,1.3241655048840983,0.13766566091954024,0.8623343390804596,0.13963136146579175,0.0,26000,22996.16120199999
5,52,OUR,lean_our,p11_retrained,1.0239608778459295,1.1396762395411217,0.2568704022988506,0.7431295977011493,0.8449282846886171,0.0,10500,20459.980529959023
5,53,DAOC,daoc_paper,p11_retrained,1.1938130533815319,1.5530309083913365,0.100351091954023,0.8996489080459773,0.1703225299365696,0.0,26000,23079.624376832973
5,53,OUR,lean_our,p11_retrained,1.1466834611563153,1.3812943628794914,0.3275039367816093,0.6724960632183907,0.9101763855792793,0.0,10500,20037.159133750014
10,51,DAOC,daoc_paper,reused_p3,0.7843615164831899,1.1420173576222354,0.3101599137931034,0.6898400862068965,0.022199805128519743,0.0,26000,3482.909489749989
10,51,OUR,lean_our,reused_p3,0.34780913803543373,0.580245206155054,0.6141486206896551,0.3858513793103448,0.1704272140581845,0.0,10500,4637.715333792003
10,52,DAOC,daoc_paper,reused_p3,0.6538489777767886,0.8836639269738435,0.1834903735632184,0.8165096264367817,0.021119246357283655,0.0,26000,3369.1817068329838
10,52,OUR,lean_our,reused_p3,0.29396885254601385,0.4995868716547236,0.45361025862068965,0.5463897413793104,0.19398604280542572,0.0,12000,5171.071871791995
10,53,DAOC,daoc_paper,reused_p3,0.9851647496610141,1.2977599575155778,0.20121856321839082,0.7987814367816091,0.021607684964659,0.0,26000,3531.7567326670105
10,53,OUR,lean_our,reused_p3,0.4223310677536375,0.5473404514573024,0.5834802011494253,0.4165197988505747,0.21207569247439853,0.0,10500,4945.135559499991
15,51,DAOC,daoc_paper,p11_retrained,0.4191481729022057,0.6359923775637197,0.20369643678160923,0.7963035632183907,0.13370445780464765,0.0,26000,26780.678218709014
15,51,OUR,lean_our,p11_retrained,0.21161072980423398,0.49093608773732084,0.6593593678160918,0.34064063218390805,1.2456462463892222,0.0,10500,36071.07905183296
15,52,DAOC,daoc_paper,p11_retrained,0.7580609033003601,0.9796712080067022,0.20303931034482756,0.7969606896551725,0.1297907506411724,0.0,26000,26649.711767041998
15,52,OUR,lean_our,p11_retrained,0.19141768140048568,0.5103254253182484,0.6363857183908046,0.3636142816091954,0.6501012110506484,0.0,10500,29134.191486124997
15,53,DAOC,daoc_paper,p11_retrained,0.49206380814131906,0.7281002456423553,0.24762488505747132,0.7523751149425288,0.14208517086570552,0.0,26000,28104.203477167
15,53,OUR,lean_our,p11_retrained,0.1942654120360508,0.43023150493967394,0.6665371264367814,0.33346287356321835,0.411025733505195,0.0,10500,30587.518214375013
20,51,DAOC,daoc_paper,p11_retrained,0.5285584171167891,0.822962288477709,0.21421988505747122,0.7857801149425288,0.15757597721838987,0.0,26000,28978.095831957995
20,51,OUR,lean_our,p11_retrained,0.17967032538093938,0.4516704771633174,0.5993018965517242,0.40069810344827594,0.8499198358671604,0.0,10500,43565.846454832994
20,52,DAOC,daoc_paper,p11_retrained,0.7290266122226063,1.0569282750824405,0.17601356321839082,0.8239864367816092,0.12885354617739028,0.0,26000,28707.73871162499
20,52,OUR,lean_our,p11_retrained,0.1482688088942038,0.41474883412343594,0.6326350287356322,0.3673649712643678,0.220706102517594,0.0,10500,29505.265625583008
20,53,DAOC,daoc_paper,p11_retrained,0.5472655840214632,0.812692369551362,0.1716908333333333,0.8283091666666665,0.15522100636969394,0.0,26000,29056.922727958998
20,53,OUR,lean_our,p11_retrained,0.2148334553563569,0.5032871433524511,0.5671682183908046,0.4328317816091955,0.2808716761794887,0.0,10500,29176.246095041977
