method_key,method,seed,completion_time_s,user_input_transfer_s,dependency_transfer_s,service_loading_s,waiting_s,computation_s,component_sum_s,identity_residual_s
greedy,SA-Nearest,51,1.8921784882521502,0.0,0.00014006558814117382,1.7850572025007354,0.037487473881764356,0.06949374628150928,1.8921784882521502,0.0
greedy,SA-Nearest,52,1.480954642566043,0.0,0.00021911508163615872,1.2561635710993164,0.09334133614265643,0.1312306202424336,1.4809546425660427,2.220446049250313e-16
greedy,SA-Nearest,53,2.5011877503858604,0.0,0.0001156421584713015,2.3931643863506675,0.025642789794733178,0.08226493208198858,2.5011877503858604,0.0
greedy,SA-Nearest,54,1.444954756834701,0.0,0.00024028284335084492,1.3636690658552133,0.024035884276358957,0.057009523859777894,1.444954756834701,0.0
greedy,SA-Nearest,55,1.1223132567780667,0.0,0.0001937559578150949,1.0354666736471758,0.04217477870133063,0.0444780484717454,1.122313256778067,-2.220446049250313e-16
greedy,SA-Nearest,56,1.617098621668993,0.0,0.0002559986241342529,1.5353055552155006,0.032380037356811484,0.049157030472547006,1.6170986216689933,-2.220446049250313e-16
greedy,SA-Nearest,57,1.4248307018124402,0.0,9.612087237907169e-05,1.3146023664062874,0.050329648706322186,0.05980256582745164,1.4248307018124402,0.0
greedy,SA-Nearest,58,1.9569653602323134,0.0,9.32971659932813e-05,1.8529260404412626,0.04729238653255594,0.056653636092501874,1.9569653602323138,-4.440892098500626e-16
greedy,SA-Nearest,59,1.503102660489735,0.0,0.0002386622954064599,1.4389127462013858,0.029257630535747446,0.034693621457195366,1.503102660489735,0.0
greedy,SA-Nearest,60,1.518042199381766,0.0,0.00014073825390251537,1.4556732292285097,0.026086995689051724,0.03614123621030211,1.518042199381766,0.0
daoc_paper,DAOC,51,0.7843615164831899,0.0,0.00013834034242566674,0.6657595714440399,0.04462136502223815,0.0738422396744862,0.7843615164831899,0.0
daoc_paper,DAOC,52,0.6538489777767886,0.0,0.00021191484969059192,0.5616753222243094,0.036755821082078796,0.055205919620709934,0.6538489777767887,-1.1102230246251565e-16
daoc_paper,DAOC,53,0.9851647496610142,0.0,0.00016360647501918328,0.903686777245522,0.026231821723489233,0.05508254421698379,0.9851647496610142,0.0
daoc_paper,DAOC,54,0.9609116787043935,0.0,0.00015046365354691902,0.8972432970632609,0.02367355676621668,0.03984436122136883,0.9609116787043933,2.220446049250313e-16
daoc_paper,DAOC,55,0.5797923022053876,0.0,0.00013836103646329867,0.5220606892172368,0.02390690151546539,0.03368635043622219,0.5797923022053877,-1.1102230246251565e-16
daoc_paper,DAOC,56,0.73763437423656,0.0,0.00017079500251440698,0.6626386350341882,0.028434725397122645,0.04639021880273485,0.7376343742365601,-1.1102230246251565e-16
daoc_paper,DAOC,57,0.538189835912131,0.0,0.00016758414475774987,0.4612689540311691,0.03013125539194601,0.0466220423442582,0.538189835912131,0.0
daoc_paper,DAOC,58,0.9386817069708002,0.0,0.0001249608704028028,0.8827978624904943,0.026034021849080668,0.029724861760822355,0.9386817069708001,1.1102230246251565e-16
daoc_paper,DAOC,59,0.8360848095321807,0.0,0.0002648360520268997,0.7808418377337368,0.025046788349980056,0.02993134739643679,0.8360848095321806,1.1102230246251565e-16
daoc_paper,DAOC,60,0.721437672943573,0.0,0.00014562989558806796,0.6744108068964788,0.019001888130360967,0.027879348021145077,0.721437672943573,0.0
discrete_sac_std_cache,SAC + DAOC-Cache,51,1.1179971033291678,0.0,0.0001814150280299865,1.0262665993989877,0.03751001954735054,0.054039069354799615,1.1179971033291678,0.0
discrete_sac_std_cache,SAC + DAOC-Cache,52,1.841503087782518,0.0,0.0001978592067280804,1.514797169177979,0.13326195945982278,0.19324609993798783,1.8415030877825176,4.440892098500626e-16
discrete_sac_std_cache,SAC + DAOC-Cache,53,0.7516482689814148,0.0,0.0001855328152162124,0.6562018438897973,0.020912074510328553,0.07434881776607277,0.7516482689814148,0.0
discrete_sac_std_cache,SAC + DAOC-Cache,54,1.007739978221971,0.0,0.00014765923371263582,0.9346248822825457,0.02860735848884883,0.04436007821686357,1.0077399782219707,2.220446049250313e-16
discrete_sac_std_cache,SAC + DAOC-Cache,55,1.1705842595226919,0.0,9.610812048326175e-05,1.124110906781747,0.01879237500747162,0.02758486961298978,1.1705842595226916,2.220446049250313e-16
discrete_sac_std_cache,SAC + DAOC-Cache,56,1.2620995792332808,0.0,0.0001262850094963349,1.194188612640546,0.0295587405377256,0.038225941045512815,1.2620995792332808,0.0
discrete_sac_std_cache,SAC + DAOC-Cache,57,0.6977677360473226,0.0,0.00015016142248785755,0.6332355506567088,0.02554419658346226,0.03883782738466354,0.6977677360473225,1.1102230246251565e-16
discrete_sac_std_cache,SAC + DAOC-Cache,58,1.1439988021595164,0.0,0.00015374851315224579,1.1001901892374357,0.018576112853914816,0.025078751555013226,1.143998802159516,4.440892098500626e-16
discrete_sac_std_cache,SAC + DAOC-Cache,59,1.2568039124592907,0.0,0.00031300664228961164,1.2004901889206043,0.024149637760327337,0.03185107913606936,1.2568039124592907,0.0
discrete_sac_std_cache,SAC + DAOC-Cache,60,1.1063599496606107,0.0,0.00013972181568858475,1.0396138982310608,0.029456698389078717,0.03714963122478281,1.106359949660611,-2.220446049250313e-16
daoc_our_coord_cache,DAOC + DCC,51,0.43656384093200906,0.0,0.00021940389005175266,0.31848897420242267,0.04185307462646474,0.07600238821306982,0.43656384093200895,1.1102230246251565e-16
daoc_our_coord_cache,DAOC + DCC,52,0.41970842087835286,0.0,0.00020380830244049884,0.3371759261527098,0.02957583267157841,0.052752853751624154,0.41970842087835286,0.0
daoc_our_coord_cache,DAOC + DCC,53,0.522528464804614,0.0,0.00023353922742461698,0.4274855527164857,0.03066609445867126,0.06414327840203257,0.5225284648046141,-1.1102230246251565e-16
daoc_our_coord_cache,DAOC + DCC,54,0.20788384590173906,0.0,0.00031196797343819725,0.16155529628447868,0.016290900779763143,0.029725680864058978,0.207883845901739,5.551115123125783e-17
daoc_our_coord_cache,DAOC + DCC,55,0.2341364227241547,0.0,0.0002662234272354241,0.17711019516379062,0.02549740866980969,0.03126259546331895,0.2341364227241547,0.0
daoc_our_coord_cache,DAOC + DCC,56,0.26434573507003506,0.0,0.00019602708239008443,0.2127319688603752,0.022843915767645127,0.02857382335962465,0.26434573507003506,0.0
daoc_our_coord_cache,DAOC + DCC,57,0.19844544578693288,0.0,0.00018144634655203158,0.12503465454834084,0.03288296450715532,0.04034638038488465,0.19844544578693285,2.7755575615628914e-17
daoc_our_coord_cache,DAOC + DCC,58,0.36047262741499175,0.0,0.00015419195151389022,0.3072699519498856,0.024300895601230457,0.028747587912361754,0.3604726274149917,5.551115123125783e-17
daoc_our_coord_cache,DAOC + DCC,59,0.5586601596194524,0.0,0.0002352289416122371,0.4997223590702176,0.028079878462061187,0.030622693145561267,0.5586601596194523,1.1102230246251565e-16
daoc_our_coord_cache,DAOC + DCC,60,0.5703083291433972,0.0,0.0001527989128900137,0.5165085234436728,0.02591247387926671,0.027734532907567534,0.5703083291433971,1.1102230246251565e-16
coord_cache_discrete_sac,SAC + DCC,51,0.3888858920865922,0.0,0.00019955299655724374,0.2887079359731819,0.038501783996495946,0.06147661912035709,0.3888858920865922,0.0
coord_cache_discrete_sac,SAC + DCC,52,0.31196647110442755,0.0,0.0002547624618404844,0.25407412578347305,0.018078717249921227,0.039558865609192854,0.3119664711044276,-5.551115123125783e-17
coord_cache_discrete_sac,SAC + DCC,53,0.4301698471710385,0.0,0.000170530072347291,0.35281713958054667,0.016340262293602175,0.06084191522454233,0.43016984717103846,5.551115123125783e-17
coord_cache_discrete_sac,SAC + DCC,54,0.13694551341050012,0.0,0.0002904424207768448,0.06075772734180809,0.019858571382878182,0.05603877226503699,0.13694551341050012,0.0
coord_cache_discrete_sac,SAC + DCC,55,0.15422657261685294,0.0,0.00022625313693804594,0.09345660602491782,0.02652365941959191,0.03402005403540514,0.1542265726168529,2.7755575615628914e-17
coord_cache_discrete_sac,SAC + DCC,56,0.24234665927419957,0.0,0.00021310239770815046,0.18718206520609615,0.02567304975681737,0.029278441913577893,0.24234665927419957,0.0
coord_cache_discrete_sac,SAC + DCC,57,0.14969475453802372,0.0,0.0002233460446133174,0.10186464331603275,0.01776980724395704,0.02983695793342063,0.14969475453802372,0.0
coord_cache_discrete_sac,SAC + DCC,58,0.2868787457931742,0.0,0.00021560878168660734,0.22734154591147882,0.02819654773299875,0.031125043367010025,0.2868787457931742,0.0
coord_cache_discrete_sac,SAC + DCC,59,0.42194010079231864,0.0,0.00031229032652125557,0.36534877555998924,0.027790643692733232,0.028488391213074955,0.4219401007923187,-5.551115123125783e-17
coord_cache_discrete_sac,SAC + DCC,60,0.47775284105976334,0.0,0.00014799517302990954,0.43248795920461325,0.019858233633112413,0.02525865304900767,0.47775284105976323,1.1102230246251565e-16
lean_our,OUR,51,0.3478091380354338,0.0,0.0003113422774449671,0.23804390793517685,0.04423321263066042,0.06522067519215156,0.3478091380354338,0.0
lean_our,OUR,52,0.29396885254601374,0.0,0.000295762428092282,0.23605511203680282,0.019230709332951637,0.038387268748167065,0.2939688525460138,-5.551115123125783e-17
lean_our,OUR,53,0.4223310677536376,0.0,0.00019774484026763655,0.347062783029863,0.01726161725778275,0.05780892262572421,0.4223310677536376,0.0
lean_our,OUR,54,0.12240373026342151,0.0,0.00028578179206043176,0.05305124220412779,0.0194963713631385,0.04957033490409478,0.1224037302634215,1.3877787807814457e-17
lean_our,OUR,55,0.12350321643333877,0.0,0.0002869104298681484,0.06622871245951965,0.025101380875251073,0.03188621266869987,0.12350321643333874,2.7755575615628914e-17
lean_our,OUR,56,0.22372599979241062,0.0,0.0002273156597522091,0.158973336441179,0.03189428049778198,0.03263106719369742,0.22372599979241062,0.0
lean_our,OUR,57,0.09559197669827668,0.0,0.00019323855550011117,0.04446409855560539,0.01885154821491,0.03208309137226119,0.09559197669827668,0.0
lean_our,OUR,58,0.24570031392562702,0.0,0.0002888083592430919,0.18307047369739252,0.03127725878529818,0.03106377308369325,0.24570031392562705,-2.7755575615628914e-17
