method,mean_finish_time,mean_p95_finish_time,mean_waiting_latency,mean_cache_hit_rate,mean_cache_service_coverage,mean_remote_loading_rate,mean_service_loading_latency,mean_inference_time_per_decision_ms,cache_decision_wall_time_sec,cache_migration_time_sec
random,1.8290126196110847,2.118872751002383,0.16389589503925758,0.0968967643678161,0.41999999999999993,0.903103235632184,5.863227572717086,0.0,0.0,0.0
nearest,1.5859094573566408,2.1284613993554258,0.16764441800076169,0.09524198563218392,0.41999999999999993,0.9047580143678161,5.7354954701846825,0.0,0.0,0.0
greedy,1.646162843840207,2.1862995731652006,0.18128531580777868,0.4206137931034483,0.39,0.5793862068965517,5.736908379806731,0.0,0.0,0.0
dqn_wdsa_std_cache,1.130813420455795,1.4697964927423717,0.118223655444083,0.096379841954023,0.51,0.9036201580459771,4.2631668348568645,0.02470768268731796,0.0,0.0
daoc_paper,0.7736107624426019,1.0610170928478253,0.12013794707872363,0.18147671551724137,0.56,0.8185232844827587,2.5379026706859014,0.021730722958029258,0.0,0.0
centralized_greedy_daoc,0.37495905907194443,0.5585715913790389,0.12209049253410229,0.29189638505747123,0.7999999999999998,0.7081036149425287,1.1726442794853085,0.025435989615711068,0.0,0.0
coord_cache_discrete_sac,0.3000807397846891,0.44634055774804676,0.10427681982015782,0.42116633045977003,0.7999999999999998,0.57883366954023,1.1839893267593389,0.1749485442692828,0.0,0.0
lean_our,0.2667876603143697,0.4335697200624102,0.10808676623646866,0.5888956120689656,0.7999999999999998,0.4111043879310345,0.9691846718008879,0.1929716804498541,0.0,0.0
base_ddqn_std_cache,1.0387017165380723,1.288190796362891,0.15452234650468527,0.20376911494252878,0.53,0.7962308850574713,3.916844086519325,0.04736621085567903,0.0,0.0
our_flat_ddqn,0.3579077497034529,0.5507609659480923,0.10890631591855218,0.3038462988505747,0.7999999999999998,0.6961537011494253,1.306117657455187,0.042181621634707865,0.0,0.0
our_no_coord_cache,0.7373397025832562,1.012318770117751,0.12483230926325475,0.48981633333333335,0.6600000000000001,0.5101836666666666,2.3343163951099237,0.2052297824134471,0.0,0.0
our_no_task_dependency,0.29806627130389113,0.516767077566913,0.12700240939072488,0.5580186264367816,0.7999999999999998,0.4419813735632184,1.0651411545860285,0.16500837276205582,0.0,0.0
our_no_dependency_cache,0.272455853266628,0.44851069113202324,0.1142588943960113,0.6186242931034482,0.7999999999999998,0.38137570689655176,0.8134800367153527,0.2024525945234974,0.0,0.0
our_terminal_reward,0.31011374857608526,0.4942345445983724,0.11536478761005631,0.6003031954022988,0.7999999999999998,0.3996968045977011,1.0905802413754857,0.21673352567871057,0.0,0.0
